0x52a1e0         [func] CField::GetFieldKey(void)
0x52a280         [func] CField::OnOpenGate(void)
0x52a290         [func] CField::GetCorrectTime(void)
0x52a2f0         [func] CField::UserLook::ForceLook(CUser *)
0x52a320         [func] CField::IsSkillForbiden(long)
0x52a340         [func] CField::IsUnableToKickParty(void)
0x52a390         [func] CField::IsUnableToWithdrawParty(void)
0x52a3e0         [func] CField::OnCharacterSale(long,CInPacket &)
0x52a400         [func] CField::OnVega(long,CInPacket &)
0x52a420         [func] CField::IsFearEffectOn(void)
0x52a430         [func] CField::OnItemUpgrade(long,CInPacket &)
0x52a640         [func] CField::PROPERTY::~PROPERTY(void)
0x52a670         [func] CField::PROPERTY::PROPERTY(CField::PROPERTY const &)
0x52a6b0         [func] CField::OnKey(uint,uint)
0x52a750         [func] CField::OnMouseButton(uint,uint,long,long)
0x52a7c0         [func] CField::OnDestroyClock(CInPacket &)
0x52a7e0         [func] CField::OnFieldSpecificData(CInPacket &)
0x52a880         [func] CField::OnJoystickButton(uint,ulong)
0x52b3d0         [func] CField::OnMouseMove(long,long)
0x52b6a0         [func] CField::FindSeatByPosition(tagPOINT)
0x52b720         [func] CField::GetTownPortalPos(long)
0x52b790         [func] CField::OnSetQuestTime(CInPacket &)
0x52b810         [func] CField::OffFearEffect(void)
0x52c830         [func] CField::OnFieldObstacleAllReset(CInPacket &)
0x52c870         [func] CField::OnSetQuestClear(CInPacket &)
0x52d160         [func] CField::UserLook::UserLook(void)
0x52d1d0         [func] CField::UserLook::~UserLook(void)
0x52d6a0         [func] CField::Close(void)
0x52d700         [func] CField::WEATHERMSGINFO::~WEATHERMSGINFO(void)
0x52d780         [func] CField::SendCreateGuildAgreeMsg(int)
0x52d820         [func] CField::SendSetMemberGradeMsg(ulong,long)
0x52d8c0         [func] CField::SendSetGuildMarkMsg(ushort,uchar,ushort,uchar)
0x52d970         [func] CField::UserLook::IsCondTrue(CUser *)
0x52da50         [func] CField::ApplyUserLook(CUser *)
0x52db40         [func] CField::UpdateDynamicObject(void)
0x52ddd0         [func] CField::OnRequestFootHoldInfo(CInPacket &)
0x52e2f0         [func] CField::UserLook::`vector deleting destructor'(uint)
0x52e9c0         [func] CField::RestoreTownPortal(tagPOINT)
0x52e9e0         [func] CField::SendInviteTradingRoomMsg(ZXString<char> const &,int)
0x52ebc0         [func] CField::SendCreateNewPartyMsg(void)
0x52edb0         [func] CField::SendWithdrawPartyMsg(void)
0x52efa0         [func] CField::SendTransferChannelRequest(long)
0x52f170         [func] CField::SendDeleteFriendMsg(ulong)
0x52f290         [func] CField::SendAcceptFriendMsg(ulong)
0x52f3b0         [func] CField::OnTransferFieldReqIgnored(CInPacket &)
0x52f5f0         [func] CField::OnTransferChannelReqIgnored(CInPacket &)
0x52f7b0         [func] CField::OnSummonItemInavailable(CInPacket &)
0x52f7f0         [func] CField::OnMakeTimerParam(CClock::INITPARAM &,long &,long &)
0x52f900         [func] CField::IsEventMap(int)
0x52f970         [func] CField::TryEnterTownPortal(tagPOINT)
0x52ff40         [func] CField::RestoreHelpMsg(ulong)
0x530140         [func] CField::SendKickPartyMsg(ZXString<char> const &)
0x530370         [func] CField::SendChangePartyBossMsg(ZXString<char> const &)
0x530580         [func] CField::SendCreateExpeditionMsg(ZXString<char> &)
0x530850         [func] CField::SendKickExpeditionMsg(ZXString<char> const &)
0x530a30         [func] CField::SendInviteExpeditionMsg(ZXString<char> const &)
0x530b60         [func] CField::SendWithdrawExpeditionMsg(void)
0x530cc0         [func] CField::OnZakumTimer(CInPacket &)
0x530e70         [func] CField::OnHontailTimer(CInPacket &)
0x531020         [func] CField::OnChaosZakumTimer(CInPacket &)
0x5311d0         [func] CField::OnHontaleTimer(CInPacket &)
0x5313d0         [func] CField::OnDesc(CInPacket &)
0x531510         [func] CField::OnClock(CInPacket &)
0x531940         [func] CField::UpdateQuestLayer(void)
0x532220         [func] CField::GetFieldProp(ulong)
0x532ab0         [func] CField::RestoreAllowedItem(void)
0x532dd0         [func] CField::RestorePhaseBG(void)
0x532fb0         [func] CField::RestoreForbiddenSkill(void)
0x5330e0         [func] CField::RestoreSwinArea(void)
0x533820         [func] CField::RestoreSeat(void)
0x533ab0         [func] CField::RestoreClock(void)
0x533ee0         [func] CField::RestoreToolTip(void)
0x534000         [func] CField::SendChatMsg(ZXString<char> const &,int)
0x534150         [func] CField::SendLocationWhisper(ZXString<char> const &,int)
0x534310         [func] CField::SendJoinPartyMsg(ZXString<char> const &)
0x5345c0         [func] CField::SendTransferFieldRequest(ulong,char const *,int,long,long)
0x5347d0         [func] CField::InputGuildName(void)
0x5348e0         [func] CField::SendInviteGuildMsg(ZXString<char>)
0x534ad0         [func] CField::SendWithdrawGuildMsg(void)
0x534cb0         [func] CField::SendKickGuildMsg(ZXString<char>)
0x534fe0         [func] CField::SendSetGradeNameMsg(ZXString<char>,ZXString<char>,ZXString<char>,ZXString<char>,ZXString<char>)
0x535180         [func] CField::SendSetGuildNoticeMsg(ZXString<char>)
0x535240         [func] CField::SendSetFriendMsg(ZXString<char>,ZXString<char>,int)
0x535490         [func] CField::OnGroupMessage(CInPacket &)
0x5357f0         [func] CField::OnCoupleMessage(CInPacket &)
0x535a80         [func] CField::OnFieldObstacleOnOff(CInPacket &)
0x535b00         [func] CField::OnFieldObstacleOnOffStatus(CInPacket &)
0x535ba0         [func] CField::ShowMobHPTag(ulong,long,long,long,long)
0x5376d0         [func] CField::ShowScreenEffect(ZXString<ushort>)
0x537940         [func] CField::OnPlayJukeBox(CInPacket &)
0x537a90         [func] CField::OnQuiz(CInPacket &)
0x538160         [func] CField::OnWarnMessage(CInPacket &)
0x5381f0         [func] CField::OnTownPortalChanged(int,PARTYDATA const &,PARTYDATA::TOWNPORTAL const &,int)
0x539710         [func] CField::AddBlackList(ZXString<char>)
0x5397d0         [func] CField::DeleteBlackList(ZXString<char>)
0x539890         [func] CField::OnSetObjectState(CInPacket &)
0x539910         [func] CField::OnStalkResult(CInPacket &)
0x5399f0         [func] CField::InitFearEffect(void)
0x53a450         [func] CField::OnFearEffect(void)
0x53a470         [func] CField::DrawFearEffect(void)
0x53a810         [func] CField::OnFootHoldInfo(CInPacket &)
0x53aca0         [func] CField::Init(void *)
0x53b070         [func] CField::RestoreOption(void)
0x53b790         [func] CField::OnFieldEffect(CInPacket &)
0x53bc20         [func] CField::OnAdminResult(CInPacket &)
0x53c800         [func] CField::CField(void)
0x53cac0         [func] CField::OnSetFocus(int)
0x53cad0         [func] CField::BasicActionAttack(void)
0x53cae0         [func] CField::GetFieldType(void)
0x53caf0         [func] CField::GetRTTI(void)
0x53cb00         [func] CField::IsKindOf(CRTTI const *)
0x53cb30         [func] CField::CanUseSpecialArts(void)
0x53cb50         [func] CField::DecodeFieldSpecificData(CUser *,CInPacket &)
0x53cb60         [func] CField::OnFieldSetVariable(ZXString<char>,ZXString<char>)
0x53cbd0         [func] CField::OnSessionValue(ZXString<char>,ZXString<char>)
0x53cc40         [func] CField::OnPartyValue(ZXString<char>,ZXString<char>)
0x53ccb0         [func] CField::~CField(void)
0x53cf80         [func] CField::RestoreWeatherMsg(void)
0x53d3b0         [func] CField::SendChatMsgWhisper(ZXString<char> const &,ZXString<char> const &)
0x53dd50         [func] CField::BlowWeather(long,ZXString<char>,int,long)
0x53f220         [func] CField::FieldFactory(ulong)
0x53fa10         [func] CField::`vector deleting destructor'(uint)
0x53fa30         [func] CField::RestoreUserInfo(void)
0x5408e0         [func] CField::SendChatMsgSlash(ZXString<char> const &)
0x5448a0         [func] CField::OnWhisper(CInPacket &)
0x545980         [func] CField::BlowWeather(long,ZXString<char>,int)
0x545a10         [func] CField::LoadDynamicObject(void)
0x546560         [func] CField::RestorePeculiarInfo(void)
0x546580         [func] CField::Update(void)
0x546870         [func] CField::BlowWeather(long,ZXString<char>)
0x5468f0         [func] CField::OnBlowWeather(CInPacket &)
0x5469f0         [func] CField::LoadMap(ulong)
0x546d50         [func] CField::OnPacket(long,CInPacket &)
0x63a040         [func] CField::IsSwimmingMap(void)
0x655ef0         [func] CField::IsUnableToUseSkill(void)
0x719ba0         [func] CField::INITPARAM::~INITPARAM(void)
0x8de100         [func] CField::IsFlyingMap(void)
0x8eafc0         [func] CField::GetMapSpecificEffectUOL(void)
0x9033a0         [func] CField::GetCrc(void)
